hyponym,hypernym,label,split
reynolds,leader,0,train
transformation,technique,1,train
cholera,disease,1,train
sabah,malaysia,0,train
dwdm,technology,0,train
ireland,region,0,train
seafood,luxury,0,train
technology,sector,1,train
burgundy,area,1,train
city,karachi,0,train
overload,power,0,train
jamestown,governor,0,train
shanghai,part,0,train
israel,country,1,train
balancing,task,0,train
wool,tenby,0,train
apple,fruit,1,train
company,asset,1,train
fan,shape,1,train
fishing,tourist,0,train
competitor,part,0,train
tor,thing,1,train
florida,state,1,train
transferrin,example,0,train
tennis,sport,1,train
loveas,part,0,train
soybean,agriculture,0,train
spheromak,device,0,train
vote,part,0,train
baroque,title,0,train
lacrimation,symptom,1,train
australia,colony,1,train
barnsdale,example,0,train
dogwood,band,1,train
sony,company,1,train
yemen,country,1,train
hyperphagia,depression,0,train
hummingbird,pollinator,1,train
zinc,commodity,1,train
lacrosse,sport,1,train
india,country,1,train
crack,damage,1,train
fishing,activity,1,train
kenya,country,1,train
gza,artist,1,train
examination,demonstration,0,train
agreement,part,0,train
hailey,city,1,train
rajneesh,leader,1,train
zen,practice,1,train
investment,sector,1,train
tcs,recruiter,0,train
pregnancy,condition,1,train
sydney,australia,0,train
barrier,supply,0,train
expression,process,1,train
ålesund,city,0,train
basketball,activity,1,train
colorado,state,1,train
democracy,aquarius,0,train
silver,deposit,1,train
facebook,company,1,train
timia,oasis,1,train
pea,food,1,train
pipeline,structure,1,train
capsaicin,application,0,train
oxygen,nutrient,1,train
chorus,part,1,train
education,field,1,train
powassan,erosion,0,train
action,racism,0,train
insemination,procedure,1,train
son,wedlock,0,train
rag,material,1,train
methylphenidate,stimulant,1,train
robbery,crime,1,train
medicine,discipline,1,train
tea,beverage,1,train
loire,france,0,train
beer,liquor,1,train
beetle,insect,1,train
complication,risk,0,train
process,system,0,train
east,nation,0,train
exposure,injury,0,train
human,entity,1,train
veve,band,0,train
wolf,craftsman,0,train
spider,group,0,train
uruguay,chile,0,train
resort,term,0,train
health,subject,1,train
student,campus,0,train
poaching,crime,1,train
honeyguide,piciformes,0,train
success,olsen,0,train
mission,space,0,train
video,part,0,train
skiing,theme,0,train
slovenians,group,1,train
latin,language,1,train
blueberry,ingredient,1,train
rugby,sport,1,train
music,influence,0,train
cesena,part,0,train
honda,recruiter,0,train
leukemia,disease,1,train
husserl,director,0,train
minnow,bait,1,train
librarian,education,0,train
chile,aninvestment,0,train
semiconductor,material,1,train
yubileyny,district,1,train
jews,nazi,0,train
essay,work,1,train
airline,target,0,train
fat,fat,0,train
plat,deed,0,train
blackberry,fruit,1,train
france,defense,0,train
beechmast,fruit,1,train
illustrator,culture,0,train
ebay,website,1,train
avifauna,wildlife,1,train
coal,tenby,0,train
discrimination,problem,1,train
biarritz,town,1,train
drug,xenobiotic,0,train
law,chuck,0,train
armalite,company,1,train
jacobs,george,0,train
wind,source,0,train
preservation,area,0,train
discrimination,barrier,0,train
peru,country,1,train
eel,note,0,train
poseidon,herodotus,0,train
fansandinvites,company,0,train
mississippi,state,1,train
flooding,disaster,0,train
osanna,band,1,train
rice,meat,0,train
grain,solid,1,train
genetic,discipline,1,train
borneo,example,0,train
woodpecker,animal,1,train
phil,people,0,train
complexity,feature,1,train
whining,call,1,train
everything,act,0,train
beer,alcohol,1,train
poland,country,1,train
terrorism,issue,1,train
christianity,religion,1,train
turtle,anapsid,1,train
bremen,example,0,train
word,sound,0,train
horseriding,activity,1,train
love,link,0,train
child,cause,0,train
france,jurisdiction,0,train
lease,form,0,train
cheese,food,1,train
manado,indonesia,0,train
sunday,evidence,0,train
tnt,company,0,train
taoiseach,leader,1,train
normandy,europe,0,train
example,lubricant,0,train
apple,chile,0,train
wire,essential,0,train
type,deneysville,0,train
manchester,heir,0,train
mariupol,immigrant,0,train
sale,pet,0,train
nehoreka,artist,0,train
evacuee,migrant,1,train
town,avdat,0,train
gilbert,architect,1,train
sociology,discipline,1,train
arsenal,sunderland,0,train
fire,force,0,train
samsonite,brand,1,train
happiness,emotion,1,train
squash,sport,1,train
actuator,equipment,1,train
english,subject,1,train
trolls,bands,1,train
portia,part,1,train
membership,condition,0,train
panama,country,1,train
logging,disturbance,0,train
metellus,commander,1,train
coorg,karnataka,0,train
led,device,1,train
growl,call,1,train
korea,region,1,train
chlorine,agent,1,train
oil,tenby,0,train
victim,situation,0,train
bat,animal,1,train
ride,child,0,train
orb,organisation,1,train
chicken,meat,1,train
roosevelt,leader,1,train
music,default,0,train
pain,factor,1,train
firearm,item,1,train
plant,cell,0,train
child,wealth,0,train
computer,application,0,train
virtue,crime,0,train
fidelity,hiv,0,train
port,terminal,0,train
oval,shape,1,train
garment,product,1,train
mandriva,distribution,1,train
tai,minority,1,train
electromagnetic,field,1,train
belonging,theme,0,train
utah,state,1,train
aalesund,club,1,train
oregano,herb,1,train
children,charity,0,train
brisbane,part,0,train
laptop,accessory,0,train
violence,madona,0,train
problem,child,0,train
lemonade,beverage,1,train
muse,act,1,train
batholith,erosion,0,train
coal,asset,1,train
arizona,city,0,train
identity,issue,0,train
people,critic,0,train
holi,festival,1,train
pepper,crop,1,train
pass,foreigner,0,train
jennings,time,0,train
serbia,country,1,train
vibration,advantage,0,train
dementia,disease,1,train
eönwë,lord,0,train
prosecution,sedition,0,train
rape,crime,1,train
iron,mineral,1,train
wisin,title,0,train
iris,plant,1,train
postcard,merchandise,1,train
boeing,part,0,train
hotel,place,1,train
calcutta,city,1,train
sedimentation,issue,0,train
digestion,topic,0,train
finland,nation,1,train
verizon,company,1,train
hungary,nation,1,train
methane,molecule,1,train
iron,tenby,0,train
display,element,0,train
chocolate,form,0,train
leadership,discipline,0,train
guntur,city,1,train
technology,field,1,train
degree,factor,0,train
monograph,duty,0,train
cache,resource,1,train
mutton,stew,0,train
place,theme,0,train
stirling,professor,0,train
fur,charge,0,train
darkthrone,artist,1,train
me2006,girl,0,train
babcock,company,1,train
business,field,1,train
goat,animal,1,train
antihistamine,success,0,train
ghrelin,hormone,1,train
snake,animal,1,train
tourism,subject,1,train
pachacamac,group,0,train
door,interaction,0,train
violence,spectacle,0,train
hermes,herodotus,0,train
hauteville,prince,0,train
baghdad,place,1,train
metamorfosi,bands,1,train
jam,filling,1,train
jakarta,indonesia,0,train
fame,station,0,train
idaho,state,1,train
pennsylvania,state,1,train
hogwarts,student,0,train
thing,loveshade,0,train
parade,act,1,train
gunpowder,material,1,train
arsenal,club,1,train
connecticut,part,0,train
sauna,element,0,train
minnesota,state,1,train
rangers,team,1,train
nyc,part,0,train
figure,feature,0,train
rope,thing,1,train
loss,sanction,0,train
honey,food,1,train
york,town,1,train
military,context,0,train
pareiasaur,group,1,train
york,part,0,train
diabetes,disorder,1,train
street,state,0,train
transport,consumer,0,train
agassi,injury,0,train
seafood,stew,0,train
fashion,interest,0,train
belarusians,people,1,train
merlin,part,1,train
amphetamine,psychostimulant,1,train
fasciculation,symptom,1,train
aluminum,power,0,train
peta,organization,1,train
avadhi,dialect,1,train
ruler,herat,0,train
carrot,shape,0,train
stromkern,madison,0,train
lisu,minority,1,train
ronnie,people,0,train
jazz,music,1,train
czechoslovakia,country,1,train
circle,shape,1,train
venezuela,country,1,train
one,vol2,0,train
weetabix,company,1,train
australia,country,1,train
hall,smoking,0,train
devas,earth,0,train
capitalism,theme,0,train
law,field,1,train
sand,surface,0,train
heritage,field,0,train
equipment,design,0,train
shorthorn,breed,1,train
goryeo,refugee,0,train
kilough,president,1,train
telecommunication,industry,1,train
style,music,0,train
pornography,content,0,train
potassium,electrolyte,1,train
what,something,0,train
meat,filling,1,train
expertise,factor,0,train
gun,weapon,1,train
lmfao,act,1,train
erdington,area,1,train
chemical,material,0,train
simnel,richard,0,train
england,locale,1,train
syria,country,1,train
uae,country,1,train
reading,pastime,1,train
discipline,governance,0,train
fredrikstad,club,0,train
number,italians,0,train
mist,cloud,0,train
herb,plant,1,train
etc,application,0,train
school,state,0,train
canberra,australia,0,train
fălticeni,place,0,train
topic,alcoholism,0,train
country,anybody,0,train
skull,prop,0,train
material,discipline,0,train
carjacking,offense,1,train
java,example,0,train
cham,language,1,train
teacher,professional,1,train
space,transport,0,train
ireland,pincín,0,train
ikea,product,0,train
murder,crime,1,train
bliss,city,0,train
plantation,otter,0,train
diabetes,obesity,0,train
fantasia,artist,1,train
ethnicity,bhutan,0,train
soundgarden,band,1,train
cattle,breed,0,train
university,complex,0,train
dreux,administrator,0,train
titanium,material,1,train
politic,discipline,1,train
tivo,company,1,train
tinderwet,artist,1,train
coffee,commodity,1,train
football,sport,1,train
abuse,issue,0,train
tuna,fish,1,train
emotion,reinstatement,0,train
personality,quality,1,train
technology,factor,0,train
snake,predator,1,train
safe,milk,0,train
harare,politician,0,train
gene,research,0,train
service,booster,0,train
biking,theme,0,train
business,topic,0,train
sedimentation,factor,0,train
hurricane,belize,0,train
stephen,king,0,train
badger,note,0,train
video,discipline,0,train
internationalism,issue,1,train
sugar,good,1,train
cgs,event,0,train
knife,weapon,1,train
multiculturalism,policy,1,train
avoidance,measure,0,train
product,cracker,0,train
tea,commodity,1,train
mayapan,part,0,train
japan,region,1,train
aberystwyth,town,1,train
cocktail,beverage,1,train
welsh,language,1,train
pubmed,entrez,0,train
violenta,artist,1,train
area,planning,0,train
argentina,country,1,train
verbier,location,1,train
landscape,section,0,train
hayfield,location,1,train
britain,nation,1,train
cut,injury,1,train
electricity,utility,1,train
sugar,commodity,1,train
queen,artist,0,train
venezuela,place,1,train
lego,company,1,train
biomedicine,discipline,1,train
newsgroup,example,0,train
molecule,part,0,train
kosovo,location,1,train
caxias,city,1,train
barbershop,music,1,train
wipro,recruiter,1,train
fatigue,quinapril,0,train
moss,material,1,train
parking,plan,0,train
whistleblower,source,1,train
china,part,0,train
physicist,people,1,train
siemens,company,1,train
light,band,0,train
american,airline,1,train
banana,flavour,1,train
milder,situation,0,train
tobacco,crop,1,train
dining,activity,1,train
vi,editor,1,train
script,feature,0,train
bamboo,material,1,train
shoe,evidence,0,train
google,advertiser,1,train
konfrontasi,conflict,0,train
finisterre,group,0,train
henrikfreshprohansen,player,1,train
bishop,doctor,0,train
plankton,organism,1,train
meeting,member,0,train
parapsychology,perspective,0,train
grotesque,form,0,train
sikanjabin,drink,1,train
astrocyte,cell,1,train
diabetes,illness,1,train
violin,product,1,train
slumping,erosion,0,train
lorient,town,1,train
instance,latitude,0,train
can,object,1,train
rolex,company,1,train
alaska,part,0,train
bioassessement,discipline,0,train
list,highlight,0,train
china,example,0,train
book,object,1,train
mission,necessaryheroes,0,train
grape,chile,0,train
funding,part,0,train
bluebird,animal,1,train
president,guest,0,train
pipeline,application,0,train
greece,europe,0,train
echo,artist,0,train
state,sovereign,0,train
ayodhya,india,0,train
toy,merchandise,1,train
kharma,artist,0,train
france,country,1,train
computer,aquarius,0,train
chile,country,1,train
symphony,music,1,train
apersistent,injury,0,train
concreteness,factor,0,train
lemon,lemon,1,train
sword,weaponry,1,train
pork,meat,1,train
zealand,region,1,train
leader,politician,0,train
india,place,1,train
material,hubbard,0,train
jingpo,minority,1,train
garfunkel,tom,0,train
age,factor,0,train
wilderness,benefit,0,train
person,case,0,train
paint,product,1,train
transport,part,0,train
muskmelon,iran,0,train
mattress,thing,1,train
banana,ingredient,1,train
festival,element,0,train
africa,slave,0,train
protest,activity,1,train
what,silk,0,train
johann0tailsundstein,player,0,train
specie,badger,0,train
addition,water,0,train
quebec,jurisdiction,1,train
surgery,study,0,train
sinhalese,language,1,train
kosovo,part,0,train
son,player,1,train
olivine,mineral,1,train
exhaust,upgrade,0,train
tug,game,0,train
serbia,location,1,train
persians,civilisation,1,train
catastrophe,exposure,0,train
badakhshan,place,1,train
fruit,treat,0,train
football,event,0,train
research,sector,1,train
patient,part,0,train
mango,flavour,1,train
turnip,pea,0,train
collectivism,theme,0,train
greece,part,0,train
michigan,city,0,train
airport,terminal,0,train
opening,interaction,0,train
mathematics,subject,1,train
phagocytosis,function,0,train
wire,item,1,train
comedy,genre,1,train
demosthenes,people,0,train
restaurant,place,1,train
manorama,actor,0,train
infosys,recruiter,1,train
what,procedure,0,train
infection,injury,0,train
turtle,animal,1,train
mscphysicsmscchemistrymba,course,0,train
coalition,part,0,train
surface,steam,0,train
function,scale,0,train
mtv,channel,1,train
punks,religion,0,train
canada,payment,0,train
banking,industry,1,train
baseball,hockey,0,train
ignition,artist,0,train
virtue,thing,1,train
alphataurus,band,1,train
lawyer,director,0,train
larsen,machinery,0,train
son,mayor,0,train
walking,task,0,train
nicostratus,prison,0,train
freedom,part,0,train
bangalore,city,1,train
doctor,rank,0,train
compliance,thing,1,train
godspeed,artist,0,train
tourism,service,0,train
pickle,thing,1,train
squalor,owner,0,train
production,discipline,0,train
canada,settlement,0,train
oats,chile,0,train
cattle,livestock,1,train
lahore,lahore,1,train
law,part,0,train
toothpaste,product,1,train
oar,band,1,train
xtc,artist,1,train
inxs,artist,1,train
entrainment,factor,0,train
duck,stew,0,train
cinema,influence,0,train
kamut,wheat,1,train
education,matter,0,train
beowulf,film,1,train
homicide,offense,1,train
krautrock,genre,1,train
europe,leviticus,0,train
supörté,activity,0,train
mulock,erosion,0,train
museum,tourist,0,train
august,part,0,train
gas,stripping,0,train
schoolchildren,people,1,train
processing,market,0,train
bruise,injury,1,train
speech,technology,1,train
replacementdocs,site,0,train
berlin,battle,0,train
dogbodys,band,1,train
plum,drupe,1,train
directives,legislation,0,train
orchard,activity,0,train
pediatric,field,1,train
slaughter,procedure,1,train
running,sport,1,train
athena,herodotus,0,train
gooding,city,1,train
db6,production,0,train
shop,tourist,0,train
antithrombin,example,0,train
poison,substance,1,train
afghanistan,herat,0,train
albumin,example,0,train
place,part,0,train
newspaper,medium,1,train
colombia,country,1,train
potato,vegetable,1,train
meat,material,1,train
dairy,dairy,0,train
björk,band,1,train
magnesium,metal,1,train
theakashagumaliving,japan,0,train
bandwidth,resource,1,train
forest,resource,1,train
alaska,place,1,train
romania,part,0,train
state,maryland,0,train
stach,artist,0,train
brake,upgrade,0,train
jijé,artist,0,train
usa,country,1,train
townspeople,people,1,train
leapfrog,game,1,train
jacksboro,town,1,train
proxy,parameter,0,train
watermelon,fruit,1,train
reaction,risk,0,train
onion,ingredient,1,train
fence,object,1,train
water,molecule,1,train
pearson,company,1,train
poverty,problem,1,train
smith,smith,1,train
cosmetic,beverage,0,train
structure,tube,0,train
britain,immigrant,0,train
iem,event,1,train
celeste,band,1,train
property,width,0,train
buyei,minority,1,train
carbonate,calcite,0,train
urine,part,0,train
ovenden,child,0,train
board,part,1,train
trincomalee,district,1,train
apple,dispersal,0,train
kerbdog,band,1,train
iguana,animal,1,train
chest,place,0,train
pyroxene,mineral,1,train
turpentine,product,1,train
jonmeri,company,1,train
hamlet,character,1,train
game,manual,0,train
herod,king,1,train
subtitle,issue,0,train
thorium,fuel,1,train
cleanser,product,1,train
intelpost,method,0,train
kalletrixisaarinen,player,1,train
concert,element,0,train
monday,disturbance,0,train
khesar,king,1,train
ebay,site,1,train
king,afantasy,0,train
jersey,part,0,train
sydney,part,0,train
vallecitos,resort,1,train
potato,food,1,train
testosterone,ligand,1,train
seal,mammal,1,train
cocaine,psychostimulant,1,train
cheney,man,1,train
sugar,material,1,train
basil,thing,1,train
chinese,language,1,train
drama,film,0,train
york,city,1,train
woman,pirate,0,train
chamonix,location,1,train
machinery,manufacture,0,train
film,actor,0,train
hawaii,place,1,train
maryhill,location,1,train
milkmaid,god,0,train
fear,emotion,1,train
power,sector,1,train
andbashball,event,0,train
photograph,part,0,train
understanding,development,0,train
boston,city,1,train
walking,transportation,1,train
portraiture,painting,1,train
science,discipline,1,train
episode,australia,0,train
cherry,flavor,1,train
wool,fabric,1,train
bellary,city,1,train
testosterone,hormone,1,train
wallis,architect,1,train
slovenia,country,1,train
java,language,1,train
commerce,area,1,train
sport,field,1,train
hotel,development,1,train
romania,location,1,train
physics,perspective,0,train
schizophrenia,disease,0,train
dhatusena,ruler,1,train
longitude,information,1,train
haider,governor,1,train
aerodynamic,application,0,train
textile,industry,1,train
subadult,member,0,train
italy,country,1,train
singapore,region,1,train
refusal,depression,0,train
hereford,breed,1,train
shanti,serial,1,train
cheese,foodstuff,1,train
dublin,airport,1,train
chloride,contaminant,0,train
topic,time,0,train
gas,turbine,0,train
seacole,teacher,1,train
psychology,major,1,train
leather,good,1,train
malta,call,0,train
name,delrin,0,train
fabric,thing,1,train
copper,mineral,1,train
photograph,pakistan,0,train
beyondas,part,0,train
afghanistan,location,1,train
hacker,part,0,train
aviation,context,0,train
magazine,form,0,train
malaysia,place,1,train
calcium,electrolyte,1,train
water,sector,1,train
type,feature,0,train
barber,job,1,train
finger,shape,0,train
rape,topic,0,train
paper,material,1,train
zurich,city,1,train
america,sumner,0,train
dai,minority,1,train
passionfruit,dispersal,0,train
riga,part,0,train
superstar,artist,0,train
dokken,artist,1,train
freedom,innovation,0,train
parachute,item,1,train
aluminum,material,1,train
monitoring,distribution,0,train
cue,temperature,0,train
fiction,part,0,train
marijuana,drug,1,train
habakkuk,part,0,train
appointment,secretary,0,train
gimp,application,1,train
yuca,vegetable,1,train
barrywhizzowilliam,part,0,train
development,biology,0,train
part,country,0,train
itunes,default,0,train
finisterre,band,1,train
slaughter,crime,1,train
japan,country,1,train
committeewoman,member,1,train
art,field,1,train
chile,37th,0,train
graviton,part,0,train
nematode,badger,0,train
hera,herodotus,0,train
espanyol,team,1,train
politic,topic,1,train
individualism,theme,1,train
wind,force,0,train
fruit,thing,1,train
show,fashion,0,train
syntel,recruiter,1,train
mokoomba,artist,1,train
name,friend,0,train
scanner,technology,1,train
europe,market,1,train
argentina,place,1,train
marriage,part,0,train
hemorrhage,complication,1,train
administration,field,0,train
diabetes,condition,1,train
law,integrity,0,train
ham,pork,1,train
silver,payment,1,train
monza,highlight,0,train
jail,part,0,train
bordeaux,city,1,train
england,guarantor,0,train
fungus,eukaryotes,1,train
arson,crime,1,train
road,surface,1,train
warrior,god,0,train
engineering,subject,1,train
europe,mexico,0,train
warehousing,consumer,0,train
fish,product,1,train
blue,music,1,train
retaliation,action,1,train
community,part,0,train
pineapple,plum,0,train
grazing,benefit,0,train
pergamon,city,1,train
fish,organism,1,train
north,africa,0,train
athletic,sport,1,train
musician,rapper,0,train
monarchy,state,0,train
whisky,liquor,1,train
recreation,subject,0,train
boldmere,area,1,train
butler,figure,1,train
example,part,0,train
time,engine,0,train
journalism,field,1,train
narcotic,market,1,train
manavas,earth,0,train
kayaking,sport,1,train
animal,inspiration,0,train
crime,offense,1,train
ceramic,find,0,train
chicago,illinois,0,train
psychology,study,0,train
creation,property,0,train
fatigue,symptom,1,train
estrogen,hormone,1,train
rail,transport,1,train
minister,part,0,train
manufacturer,client,0,train
vanilla,spice,1,train
england,europe,0,train
skrew,artist,1,train
soup,food,1,train
terfenadine,drug,1,train
homosexuality,topic,1,train
brij,dialect,0,train
bat,prey,0,train
raccoon,predator,1,train
sumatra,example,0,train
goat,protein,0,train
bangladesh,example,0,train
singapore,country,1,train
iron,good,1,train
idaho,west,0,train
alcohol,item,1,train
drug,substance,1,train
aversif,part,0,train
unicode,character,0,train
compiler,service,1,train
lake,band,1,train
feline,icon,0,train
mashhad,place,1,train
projection,day,0,train
dagger,prop,0,train
harvesting,task,1,train
imola,highlight,0,train
republic,individual,0,train
pepin,king,1,train
regulation,syracuse,0,train
humanity,issue,0,train
motorcycle,road,0,train
panama,location,1,train
univision,part,0,train
stenospeed,system,1,train
sheep,farming,0,train
foxes,artist,0,train
sand,impurity,0,train
rubber,crop,1,train
squirrel,animal,1,train
pharmaceutical,bioproduct,0,train
harvesting,threat,0,train
lisu,language,1,train
hamilton,england,0,train
mogadishu,somalia,0,train
nigeria,country,1,train
nome,place,1,train
burglary,crime,1,train
children,band,0,train
feminism,theme,1,train
bosnia,country,1,train
denmark,europe,0,train
heron,predator,1,train
documentary,film,1,train
england,director,0,train
ornamentation,purpose,0,train
use,fodder,0,train
laarks,band,1,train
clinic,employment,0,train
mecnun,life,0,train
edinburgh,part,0,train
microsoft,client,0,train
kansas,part,0,train
society,decision,0,train
luxembourg,part,0,train
clothing,good,1,train
commercial,video,1,train
case,pneumonia,0,train
owner,spammer,0,train
law,example,0,train
manchester,liverpool,0,train
waterplus,part,0,train
brazil,place,1,train
author,faculty,0,train
gardening,pastime,1,train
puffbird,piciformes,1,train
transshipment,consumer,0,train
canvas,tenby,0,train
théoden,life,0,train
unemployment,problem,1,train
byul,player,0,train
hiv,virus,1,train
submarine,part,0,train
nicaragua,country,1,train
thatyogi,krishna,0,train
rss,technology,1,train
austria,europe,0,train
friend,user,0,train
norway,place,1,train
asia,place,1,train
wem,event,1,train
road,infrastructure,1,train
fish,animal,1,train
rocawear,brand,1,train
york,prize,0,train
meat,foodstuff,1,train
belief,racism,0,train
chipmunk,artist,1,train
mercury,contaminant,1,train
spice,good,1,train
substance,issue,0,train
muqaddar,film,1,train
vegetable,food,1,train
kissinger,secretary,0,train
golf,sport,1,train
class,student,0,train
banana,crop,1,train
bird,predator,1,train
samsung,company,1,train
change,information,0,train
wedding,event,1,train
australia,settlement,0,train
bracelet,jewelry,1,train
hagerman,city,1,train
rabbit,specie,1,train
adenovirus,virus,1,train
trincomalee,part,0,train
terrorism,bombing,0,train
language,discipline,1,train
ajax,technology,1,train
food,insectivore,0,train
gambling,scandal,0,train
bebop,jazz,1,train
goulart,president,1,train
speech,area,0,train
espalier,shape,0,train
canal,water,0,train
gibbs,technique,1,train
pomegranate,iran,0,train
event,sahaba,0,train
drink,thing,1,train
neoprene,textile,1,train
beef,meat,1,train
petroleum,supply,0,train
malaysia,country,1,train
wittenberg,example,0,train
street,surface,1,train
shanghai,germany,0,train
earthquake,exposure,0,train
quark,matter,1,train
greenland,country,1,train
gap,store,1,train
hiking,activity,1,train
fibroblast,cell,1,train
volkswagen,brand,1,train
salmon,seafood,1,train
miao,minority,1,train
adele,artist,1,train
school,part,0,train
print,evidence,0,train
oasis,band,1,train
limbo,game,1,train
adventure,business,0,train
isaac,subject,0,train
bother,patient,0,train
apricot,plum,0,train
warehouse,structure,1,train
logistics,service,1,train
france,europe,0,train
skywriting,datum,0,train
survey,observation,1,train
tabelot,oasis,0,train
time,comedian,0,train
agriculture,activity,1,train
time,factor,0,train
barbados,country,1,train
ftp,service,1,train
italy,europe,0,train
elizabeth,king,0,train
vienna,tourism,0,train
ireland,country,1,train
sugar,carbohydrate,1,train
volunteering,student,0,train
concert,initiative,0,train
berbera,town,1,train
prince,artist,1,train
chiarantana,dance,1,train
ovenden,part,0,train
model,vehicle,0,train
israel,absentee,0,train
volkswagen,company,1,train
rail,infrastructure,1,train
marrakech,location,1,train
holland,europe,0,train
paris,suspect,0,train
wool,commodity,1,train
belgium,territory,1,train
sandton,johannesburg,0,train
communication,application,0,train
lock,device,1,train
trilogyby,book,0,train
akon,artist,1,train
greece,country,1,train
male,group,0,train
msn,property,0,train
technology,topic,1,train
dubai,location,1,train
withkind,blue,0,train
commutation,law,0,train
state,dependency,0,train
journalist,man,0,train
country,india,0,train
berlin,city,1,train
adweek,publication,1,train
cantonese,english,0,train
toronto,city,1,train
construction,downtown,0,train
airbus,manufacturer,1,train
coal,feature,0,train
proxy,thing,1,train
spain,country,1,train
toothpaste,good,1,train
dance,organization,0,train
use,lifeboat,0,train
tetrachloroethylene,contaminant,1,train
bus,road,0,train
bilberry,fruit,1,train
rhodes,greece,0,train
anger,reaction,1,train
slam,program,0,train
webplatformorg,organisation,0,train
mystery,genre,1,train
clone,conflict,0,train
water,item,1,train
bluegrass,genre,1,train
gates,gates,1,train
judge,person,1,train
folk,style,1,train
climbing,theme,0,train
bird,livestock,0,train
madison,artist,1,train
esterom,drug,1,train
syrup,filling,1,train
number,way,0,train
glucose,carbohydrate,1,train
blackout,feature,0,train
caliban,band,1,train
dfa,band,1,train
squad,part,0,train
defeat,event,0,train
project,sector,0,train
volleyball,sport,1,train
toy,good,1,train
wallaby,protein,0,train
arc,eye,0,train
mankind,food,0,train
mikandi,store,1,train
field,modeling,0,train
voldemort,figure,1,train
law,approximation,0,train
england,area,1,train
anhedonia,schizophrenia,0,train
apollo,herodotus,0,train
recurrence,mastitis,0,train
tibet,matter,0,train
capelin,fish,1,train
malta,region,1,train
gold,punishment,0,train
toucan,animal,1,train
pope,figure,1,train
meningitis,infection,1,train
region,information,0,train
ukraine,country,1,train
practice,regard,0,train
ptolemaic,god,0,train
bicycle,transportation,1,train
guild,science,0,train
christmas,occasion,1,train
bai,language,1,train
sick,band,1,train
device,depression,0,train
hawaii,area,1,train
character,thelmamamaharper,0,train
sony,client,0,train
mango,fruit,1,train
patent,hornell,0,train
rape,atrocity,1,train
greatness,conductor,0,train
onion,texture,0,train
scotland,country,1,train
copper,year,0,train
reggae,style,1,train
cornell,school,1,train
contadina,brand,1,train
plan,dissident,0,train
education,service,1,train
pikoli,part,0,train
morality,quality,1,train
handprint,company,0,train
sand,size,0,train
defense,team,0,train
empennage,component,0,train
lightheadedness,symptom,1,train
db7,production,0,train
chris,member,0,train
hampshire,state,0,train
chicken,livestock,1,train
refresco,drink,1,train
corn,adjunct,0,train
texas,slave,0,train
kiss,band,1,train
accelerometer,feature,1,train
kleenex,band,1,train
ruler,mother,0,train
sovereignty,governance,1,train
deer,animal,1,train
figure,police,0,train
maize,crop,1,train
college,uum,0,train
svg,technology,1,train
actor,film,0,train
kirloskar,machinery,0,train
cinnamon,ingredient,1,train
karmakanic,artist,0,train
interface,metaobject,0,train
game,feature,0,train
amesbury,town,1,train
fluoxetine,antidepressant,1,train
martinique,country,1,train
administration,responsibility,0,train
bmw,company,1,train
bluegrass,music,1,train
protorothyrid,group,1,train
science,area,1,train
kirloskar,recruiter,0,train
circumstance,wales,0,train
messier,year,0,train
friend,biagio,0,train
nevermore,artist,0,train
biology,discipline,1,train
sam,mother,0,train
problem,issue,1,train
fluoxetine,drug,1,train
finance,cooperation,0,train
oxymoron,band,1,train
italianvoguevelvet,magazine,0,train
nausea,symptom,1,train
denmark,part,0,train
harvard,school,1,train
taxation,issue,1,train
abutment,product,1,train
monocyte,leukocyte,1,train
bangladesh,country,1,train
chandasar,ruler,1,train
infection,risk,1,train
homogeneity,characteristic,1,train
element,form,0,train
wheat,grain,1,train
mix,thing,1,train
time,publication,1,train
storage,consumer,0,train
adhd,condition,1,train
hormone,substance,1,train
newfoundland,country,0,train
chloride,nutrient,1,train
romania,liberation,0,train
god,allah,0,train
grimaldi,punch,0,train
sand,ore,0,train
hills,part,0,train
germany,area,1,train
screening,event,1,train
coachella,europe,0,train
college,employment,0,train
denmark,country,1,train
brazil,country,1,train
mlg,event,1,train
piracy,instability,0,train
hotel,plan,0,train
demosthenes,teacher,1,train
fire,texians,0,train
okdd,company,1,train
foot,evidence,0,train
georgia,violation,0,train
branle,dance,1,train
engineering,area,1,train
switch,component,1,train
lime,iran,0,train
activity,disturbance,0,train
george,friend,0,train
oil,product,1,train
shotgun,weapon,1,train
extension,style,0,train
lalah,char,0,train
care,material,0,train
government,anything,0,train
accomplishment,king,0,train
oregon,city,0,train
serbs,refugee,0,train
vacuum,vacuum,1,train
găśrlitz,prussia,0,train
ireland,part,0,train
zeus,artist,1,train
turbonegro,musician,1,train
finance,part,0,train
australia,territory,1,train
parashurama,example,0,train
restaurateur,friend,0,train
phoenix,city,1,train
nitrogen,nutrient,1,train
prostitution,market,1,train
leisure,subject,1,train
cork,part,0,train
landslide,erosion,0,train
earth,fire,0,train
ilanaga,ruler,1,train
lemon,flavor,1,train
japan,part,0,train
police,figure,0,train
boar,animal,1,train
turkey,country,1,train
shape,factor,0,train
lifeline,serial,0,train
twickenham,part,0,train
coors,brand,1,train
mxpx,band,1,train
statistic,discipline,1,train
artemisinin,medicine,1,train
humidity,people,0,train
